scenario,seed,method,level,nu_low,nu_high,n,mae,rmse,bias,corr
physical_fixed,22,expanded_stats,fixed,0.4,0.5,389,0.1825411629247788,0.19889337516092462,-0.17666270080139826,0.1663982215932978
physical_fixed,22,expanded_stats,fixed,0.5,0.6,159,0.1736465593179067,0.20373780806173597,-0.1676437942861761,0.11413049702282915
physical_fixed,22,expanded_stats,fixed,0.6,0.7,36,0.16891077740324867,0.19395245588038001,-0.1502029589480824,0.18899955188999884
physical_fixed,22,expanded_stats,fixed,0.7,0.8,12,0.09580539166927338,0.11638329984366438,-0.06032791237036387,0.4059218939830423
physical_fixed,22,expanded_stats,fixed,0.8,0.9,1,0.017423033714294434,0.017423033714294434,-0.017423033714294434,
physical_fixed,22,deepsets,fixed,0.0,0.1,3905,0.08660118756350725,0.09872964888690702,0.0864875000184843,0.04776250751470874
physical_fixed,22,deepsets,fixed,0.1,0.2,2810,0.03828254531657993,0.05128687835135753,0.0013310415756447884,0.09403237035963935
physical_fixed,22,deepsets,fixed,0.2,0.3,1771,0.08794653826282227,0.09832775315413013,-0.07673220628402382,0.15529977883294885
physical_fixed,22,deepsets,fixed,0.3,0.4,917,0.142265528684224,0.15634088257169929,-0.13362720347087803,0.21193028153765608
physical_fixed,22,deepsets,fixed,0.4,0.5,389,0.18088845893319283,0.19906037652587508,-0.1733856173208256,0.17122056783313172
physical_fixed,22,deepsets,fixed,0.5,0.6,159,0.16462565592999728,0.1990614224355706,-0.1541139584667278,0.11276955979808997
physical_fixed,22,deepsets,fixed,0.6,0.7,36,0.14263658225536346,0.1731450515828012,-0.13328415983253056,0.22223553908322957
physical_fixed,22,deepsets,fixed,0.7,0.8,12,0.08816413581371307,0.10446618243355474,-0.08816413581371307,0.39290885908902473
physical_fixed,22,deepsets,fixed,0.8,0.9,1,0.12739074230194092,0.12739074230194092,-0.12739074230194092,
physical_fixed,33,moments,fixed,0.0,0.1,3881,0.32688566535590163,0.4092036707803707,0.283882477246985,-0.0077815887241240575
physical_fixed,33,moments,fixed,0.1,0.2,2878,0.3070832748351783,0.3505883343121854,0.18224456479683612,-0.01678825357971409
physical_fixed,33,moments,fixed,0.2,0.3,1707,0.3003873703995852,0.3197832979885393,0.09957576762638248,0.03566311248892961
physical_fixed,33,moments,fixed,0.3,0.4,928,0.29750476287806343,0.31529823486843656,0.025118049057521696,-0.05632057269221386
physical_fixed,33,moments,fixed,0.4,0.5,398,0.2979421839118004,0.32906315931394825,-0.030618711070499228,-0.025871682512358923
physical_fixed,33,moments,fixed,0.5,0.6,147,0.2846715059004673,0.3412100502571378,-0.08003674295483804,0.03980098401582056
physical_fixed,33,moments,fixed,0.6,0.7,43,0.2205914674803268,0.29937557721281144,-0.053859572077906405,-0.03571389856746491
physical_fixed,33,moments,fixed,0.7,0.8,14,0.16354276452745709,0.2396487613658499,0.008560410567692347,0.16714444190154562
physical_fixed,33,moments,fixed,0.8,0.9,4,0.20055337250232697,0.24764755621941523,-0.20055337250232697,-0.3398772930343267
physical_fixed,33,moments_clipped,fixed,0.0,0.1,3881,0.32688566535590163,0.4092036707803707,0.283882477246985,-0.0077815887241240575
physical_fixed,33,moments_clipped,fixed,0.1,0.2,2878,0.3070832748351783,0.3505883343121854,0.18224456479683612,-0.01678825357971409
physical_fixed,33,moments_clipped,fixed,0.2,0.3,1707,0.3003873703995852,0.3197832979885393,0.09957576762638248,0.03566311248892961
physical_fixed,33,moments_clipped,fixed,0.3,0.4,928,0.29750476287806343,0.31529823486843656,0.025118049057521696,-0.05632057269221386
physical_fixed,33,moments_clipped,fixed,0.4,0.5,398,0.2979421839118004,0.32906315931394825,-0.030618711070499228,-0.025871682512358923
physical_fixed,33,moments_clipped,fixed,0.5,0.6,147,0.2846715059004673,0.3412100502571378,-0.08003674295483804,0.03980098401582056
physical_fixed,33,moments_clipped,fixed,0.6,0.7,43,0.2205914674803268,0.29937557721281144,-0.053859572077906405,-0.03571389856746491
physical_fixed,33,moments_clipped,fixed,0.7,0.8,14,0.16354276452745709,0.2396487613658499,0.008560410567692347,0.16714444190154562
physical_fixed,33,moments_clipped,fixed,0.8,0.9,4,0.20055337250232697,0.24764755621941523,-0.20055337250232697,-0.3398772930343267
physical_fixed,33,known_sigma,fixed,0.0,0.1,3881,0.12537279756461311,0.16541082169724047,0.07427037725669575,0.044772958664772315
physical_fixed,33,known_sigma,fixed,0.1,0.2,2878,0.13828573148384368,0.15669432097948297,0.00924090725512783,0.07633159830088779
physical_fixed,33,known_sigma,fixed,0.2,0.3,1707,0.14114354500644166,0.16684050886542637,-0.034906617450343985,0.15541431192594182
physical_fixed,33,known_sigma,fixed,0.3,0.4,928,0.12630820099328613,0.16351924253274858,-0.03777168291331879,0.12912094523194026
physical_fixed,33,known_sigma,fixed,0.4,0.5,398,0.10688449423666575,0.1416723652383078,-0.015508910556833948,0.2511476162670849
physical_fixed,33,known_sigma,fixed,0.5,0.6,147,0.09414139491360203,0.11553888875267594,-0.020375714821069417,0.16560563358236172
physical_fixed,33,known_sigma,fixed,0.6,0.7,43,0.09154586112776468,0.10968319016529195,-0.023343096638834753,0.321942854211273
physical_fixed,33,known_sigma,fixed,0.7,0.8,14,0.08456537553242274,0.12782435458394031,0.005521731717245919,0.35537861277431915
physical_fixed,33,known_sigma,fixed,0.8,0.9,4,0.041797369718551636,0.05196932419376298,-0.0059494078159332275,0.6862119536783694
physical_fixed,33,prior_mean,fixed,0.0,0.1,3881,0.1129876694319728,0.11598624122854037,0.1129876694319728,
physical_fixed,33,prior_mean,fixed,0.1,0.2,2878,0.029272576401824336,0.034931343079305004,0.019547413066391982,
physical_fixed,33,prior_mean,fixed,0.2,0.3,1707,0.07950556712082135,0.0843765978591766,-0.07950556712082135,
physical_fixed,33,prior_mean,fixed,0.3,0.4,928,0.17799801681319188,0.1802708454648116,-0.17799801681319188,
physical_fixed,33,prior_mean,fixed,0.4,0.5,398,0.27677915503631284,0.27817050758145717,-0.27677915503631284,
physical_fixed,33,prior_mean,fixed,0.5,0.6,147,0.37399309062633385,0.3748459222538145,-0.37399309062633385,
physical_fixed,33,prior_mean,fixed,0.6,0.7,43,0.46846048776493515,0.4690215871463835,-0.46846048776493515,
