scenario,seed,method,level,n,mae,rmse,bias,corr,median_effective_snr_db
physical_snr,33,moments_clipped,-10.0,10000,0.4063728001350828,0.49907083891380244,0.26798180877842825,0.23230483361100682,-20.43405532836914
physical_snr,33,known_sigma,-10.0,10000,0.21704891320873868,0.29594096418452964,0.06259941835294594,0.34076113404161507,-20.43405532836914
physical_snr,33,prior_mean,-10.0,10000,0.10195303141176701,0.12854156187663426,-0.0002016094297170639,,-20.43405532836914
physical_snr,33,prior_median,-10.0,10000,0.09906083381995559,0.13245060714456386,-0.03194167879894376,,-20.43405532836914
physical_snr,33,moments,-5.0,10000,0.2879405664146238,0.3685186699118218,0.15237143239618164,0.33319768051449905,-15.434053421020508
physical_snr,33,moments_clipped,-5.0,10000,0.28208741981986096,0.35620392200726086,0.14651828580141882,0.32371441686809066,-15.434053421020508
physical_snr,33,known_sigma,-5.0,10000,0.12582894668641384,0.16811864985357097,0.003450808361853706,0.5308757947310772,-15.434053421020508
physical_snr,33,prior_mean,-5.0,10000,0.10195303141176701,0.12854156187663426,-0.0002016094297170639,,-15.434053421020508
physical_snr,33,prior_median,-5.0,10000,0.09906083381995559,0.13245060714456386,-0.03194167879894376,,-15.434053421020508
physical_snr,33,moments,0.0,10000,0.1548414261312981,0.1963648163073575,0.033576157453859924,0.44849726770184317,-10.434054374694824
physical_snr,33,moments_clipped,0.0,10000,0.1548414261312981,0.1963648163073575,0.033576157453859924,0.44849726770184317,-10.434054374694824
physical_snr,33,known_sigma,0.0,10000,0.06384983000631328,0.08959364345939107,-0.0072544726527004975,0.8041721950959002,-10.434054374694824
physical_snr,33,prior_mean,0.0,10000,0.10195303141176701,0.12854156187663426,-0.0002016094297170639,,-10.434054374694824
physical_snr,33,prior_median,0.0,10000,0.09906083381995559,0.13245060714456386,-0.03194167879894376,,-10.434054374694824
physical_snr,33,moments,5.0,10000,0.07240404024832534,0.10214558852181506,-0.0029095419057703115,0.7482000356161023,-5.434053421020508
physical_snr,33,moments_clipped,5.0,10000,0.07240404024832534,0.10214558852181506,-0.0029095419057703115,0.7482000356161023,-5.434053421020508
physical_snr,33,known_sigma,5.0,10000,0.028201472301169997,0.041528007370322986,-0.0037377245402836707,0.9513748765988078,-5.434053421020508
physical_snr,33,prior_mean,5.0,10000,0.10195303141176701,0.12854156187663426,-0.0002016094297170639,,-5.434053421020508
physical_snr,33,prior_median,5.0,10000,0.09906083381995559,0.13245060714456386,-0.03194167879894376,,-5.434053421020508
physical_snr,33,moments,10.0,10000,0.027020841418841157,0.045032008042665196,-0.0036100641334720425,0.9429489191602877,-0.43405309319496155
physical_snr,33,moments_clipped,10.0,10000,0.027020841418841157,0.045032008042665196,-0.0036100641334720425,0.9429489191602877,-0.43405309319496155
physical_snr,33,known_sigma,10.0,10000,0.012272665716166377,0.018520399233591594,-0.001234909071371658,0.9898282876783538,-0.43405309319496155
physical_snr,33,prior_mean,10.0,10000,0.10195303141176701,0.12854156187663426,-0.0002016094297170639,,-0.43405309319496155
physical_snr,33,prior_median,10.0,10000,0.09906083381995559,0.13245060714456386,-0.03194167879894376,,-0.43405309319496155
physical_snr,33,mean_var,-10.0,10000,0.1061685853233561,0.12414128284394028,0.06761131236609072,0.6075687289738804,-20.43405532836914
physical_snr,33,mean_var,-5.0,10000,0.08785585485380143,0.11130612727586281,0.02501440569665283,0.5485660250326875,-15.434053421020508
physical_snr,33,mean_var,0.0,10000,0.07203815265446901,0.10186737218051464,-0.006952710950747133,0.6231214095773903,-10.434054374694824
physical_snr,33,mean_var,5.0,10000,0.0567041991641745,0.08099924995459185,-0.030949184375442567,0.8414983523244406,-5.434053421020508
physical_snr,33,mean_var,10.0,10000,0.046375992898922413,0.05682238221844243,-0.03588607604624704,0.9395794496758562,-0.43405309319496155
physical_snr,33,expanded_stats,-10.0,10000,0.10859164481461049,0.12673468388253809,0.07147949621677399,0.596009273662307,-20.43405532836914
physical_snr,33,expanded_stats,-5.0,10000,0.08656131505873055,0.11043165702155439,0.028991164149157703,0.5654019157812594,-15.434053421020508
physical_snr,33,expanded_stats,0.0,10000,0.07053301429804415,0.09989993134955232,-0.007544143416918814,0.6400320962183448,-10.434054374694824
physical_snr,33,expanded_stats,5.0,10000,0.055790551425237214,0.07957768808384987,-0.03171866790605709,0.8413738049833042,-5.434053421020508
physical_snr,33,expanded_stats,10.0,10000,0.03602632469404489,0.04678271883614006,-0.02393050385285169,0.9505328816159331,-0.43405309319496155
physical_snr,33,deepsets,-10.0,10000,0.11487628199551254,0.1331122885251434,0.08338927303049713,0.5993951924782096,-20.43405532836914
physical_snr,33,deepsets,-5.0,10000,0.09242387645365671,0.1150668651452798,0.035581549968663605,0.5265439372028007,-15.434053421020508
physical_snr,33,deepsets,0.0,10000,0.07147318854257464,0.10111932384613324,0.0024261453941464427,0.6196818052965992,-10.434054374694824
physical_snr,33,deepsets,5.0,10000,0.05918162234770134,0.08481529737013625,-0.03431741881808266,0.8348017479511085,-5.434053421020508
physical_snr,33,deepsets,10.0,10000,0.05638723645322025,0.07016017024593017,-0.051072826012969016,0.9414510901088353,-0.43405309319496155
physical_snr,33,raw,-10.0,10000,0.11396695426497609,0.13123862765373526,0.07883975863251835,0.6059115718951695,-20.43405532836914
physical_snr,33,raw,-5.0,10000,0.09318601950723679,0.11439038544974871,0.03697980381045491,0.5528559600637565,-15.434053421020508
physical_snr,33,raw,0.0,10000,0.07284566014874727,0.1013499388737546,0.005491342442668975,0.6270166274351838,-10.434054374694824
physical_snr,33,raw,5.0,10000,0.06288078463375568,0.09256444317469249,-0.03273041643500328,0.7925272758446738,-5.434053421020508
physical_snr,33,raw,10.0,10000,0.07111713658496738,0.09870481973862653,-0.06300371890366077,0.9405265276228003,-0.43405309319496155
uniform_fixed,11,moments,fixed,10000,0.25662322989393727,0.3251742269516727,0.025854991927847733,0.514426424103761,-6.140461444854736
uniform_fixed,11,moments_clipped,fixed,10000,0.25323352789570347,0.32395215562617524,0.022465289929613937,0.5072314718022474,-6.140461444854736
uniform_fixed,11,known_sigma,fixed,10000,0.10069074850300094,0.1313769017878525,-0.0005388845851062797,0.9040047950378713,-6.140461444854736
uniform_fixed,11,prior_mean,fixed,10000,0.25047528496533633,0.28908292704793387,0.0027147081568837167,,-6.140461444854736
uniform_fixed,11,prior_median,fixed,10000,0.2504679088577628,0.28907034976862156,-0.00031305876523256304,,-6.140461444854736
uniform_fixed,11,deepsets,fixed,10000,0.08693122121430934,0.11134818517234538,0.0006579571563750505,0.9228383644441956,-6.140461444854736
uniform_fixed,11,raw,fixed,10000,0.08937324759997428,0.11402450331996929,0.012376896554604173,0.9199597962806209,-6.140461444854736
uniform_fixed,11,mean_var,fixed,10000,0.087132733495906,0.11127270221248844,0.0010734526369720698,0.9229685495186041,-6.140461444854736
uniform_fixed,11,expanded_stats,fixed,10000,0.08713414035364986,0.11133964468082891,0.003189801376312971,0.9229566980698573,-6.140461444854736
uniform_fixed,22,moments,fixed,10000,0.25648698798826663,0.32553273865668064,0.021030886541691145,0.5191576542492572,-5.965527534484863
uniform_fixed,22,moments_clipped,fixed,10000,0.25302991942575903,0.3243457548204237,0.017573817979183514,0.5119395617665462,-5.965527534484863
uniform_fixed,22,known_sigma,fixed,10000,0.09878674048490357,0.12888975203355074,-0.003266852566297166,0.9076433434355571,-5.965527534484863
uniform_fixed,22,prior_mean,fixed,10000,0.24941054964363576,0.28877684989174757,-0.004103832873702049,,-5.965527534484863
uniform_fixed,22,prior_median,fixed,10000,0.24938820266723635,0.28875633482904906,-0.0022345715999603274,,-5.965527534484863
uniform_fixed,22,raw,fixed,10000,0.08882244543768467,0.11304802510252036,-0.001905315562710166,0.9202401310084286,-5.965527534484863
uniform_fixed,22,mean_var,fixed,10000,0.08645779524631798,0.11070477435451283,0.001783712423220277,0.9236347017804474,-5.965527534484863
uniform_fixed,22,expanded_stats,fixed,10000,0.08628091125041247,0.11050642388210835,-0.002619577565789223,0.9239392385487335,-5.965527534484863
uniform_fixed,22,deepsets,fixed,10000,0.08615967975333333,0.11053415467997095,-0.0012074018619954586,0.9238684170739413,-5.965527534484863
uniform_fixed,33,moments,fixed,10000,0.2541828625343973,0.32345365837389034,0.017803448719508015,0.5272507256081959,-5.884022235870361
uniform_fixed,33,moments_clipped,fixed,10000,0.2506036256455118,0.32218543666663324,0.014224211830622517,0.5200878223372574,-5.884022235870361
uniform_fixed,33,known_sigma,fixed,10000,0.09949831738559296,0.13004732112257306,-0.0020833978937356734,0.9069637634406407,-5.884022235870361
uniform_fixed,33,prior_mean,fixed,10000,0.25051357544362546,0.2892890563754624,-0.0038988023191690447,,-5.884022235870361
uniform_fixed,33,prior_median,fixed,10000,0.25049357624650004,0.2892704426747477,-0.0021051197469234466,,-5.884022235870361
uniform_fixed,33,mean_var,fixed,10000,0.08653819332085551,0.11144204010618339,0.00582248226068914,0.9230325614920687,-5.884022235870361
uniform_fixed,33,expanded_stats,fixed,10000,0.08654231879860164,0.11135275852699605,0.0020634701132774356,0.9229640323005468,-5.884022235870361
uniform_fixed,33,deepsets,fixed,10000,0.08653437329754234,0.11136298181891206,0.00326566716209054,0.9230083578438175,-5.884022235870361
uniform_fixed,33,raw,fixed,10000,0.08845828407779337,0.1132118639534225,-0.001320196118205786,0.9202789287155126,-5.884022235870361
