scenario,seed,method,step,examples,compute_seconds,data_seconds,train_seconds,train_mse,validation_rmse,best_validation_rmse
physical_fixed,22,mean_var,1200,614400,1.013465715572238,0.5628045111661777,1.5762702267384157,0.010851545119658112,0.10534081082228058,0.10534081082228058
physical_fixed,22,mean_var,1300,665600,1.0979626968037337,0.6098108732840046,1.7077735700877383,0.010844549061730505,0.10564060163906698,0.10534081082228058
physical_fixed,22,mean_var,1400,716800,1.1821456387406215,0.6565876951208338,1.8387333338614553,0.010881767766550183,0.10532625374320176,0.10532625374320176
physical_fixed,22,mean_var,1500,768000,1.2668728578137234,0.7034722748212516,1.970345132634975,0.010847510490566491,0.10536575230865813,0.10532625374320176
physical_fixed,22,mean_var,1600,819200,1.351455430034548,0.7503724694252014,2.1018278994597495,0.010951262479647995,0.10531348035190698,0.10531348035190698
physical_fixed,22,mean_var,1700,870400,1.4359456379897892,0.7972165872342885,2.2331622252240777,0.010792989516630769,0.10558479198886615,0.10531348035190698
physical_fixed,22,mean_var,1800,921600,1.5203208400635049,0.8441371244844049,2.36445796454791,0.010833368916064502,0.10568164491999323,0.10531348035190698
physical_fixed,22,mean_var,1900,972800,1.6045586840482429,0.8909395262598991,2.495498210308142,0.010844046138226987,0.10560960722575273,0.10531348035190698
physical_fixed,22,mean_var,2000,1024000,1.6887798721436411,0.9377074902877212,2.6264873624313623,0.010974462246522307,0.10534078346631667,0.10531348035190698
physical_fixed,22,mean_var,2100,1075200,1.7728894718457013,0.9846656369045377,2.757555108750239,0.010956858545541763,0.10566319379473643,0.10531348035190698
physical_fixed,22,mean_var,2200,1126400,1.8575668259290978,1.0316790326032788,2.8892458585323766,0.010916477320715785,0.10528846453798071,0.10528846453798071
physical_fixed,22,mean_var,2300,1177600,1.9424529678653926,1.0786806021351367,3.0211335700005293,0.010908279707655311,0.10538005411121368,0.10528846453798071
physical_fixed,22,mean_var,2400,1228800,2.0274212587391958,1.1255929068429396,3.1530141655821353,0.011062057120725513,0.10570088570345912,0.10528846453798071
physical_fixed,22,mean_var,2500,1280000,2.1123590623028576,1.1729964255355299,3.2853554878383875,0.01092728708870709,0.10536878744282577,0.10528846453798071
physical_fixed,22,mean_var,2600,1331200,2.197585886809975,1.2204610732151195,3.4180469600250944,0.010875722402706742,0.10541735560287467,0.10528846453798071
physical_fixed,22,mean_var,2700,1382400,2.2819253674242646,1.2674653171561658,3.5493906845804304,0.01084585439413786,0.10555664184239383,0.10528846453798071
physical_fixed,22,mean_var,2800,1433600,2.3668765207985416,1.3142277082661167,3.6811042290646583,0.010932540260255337,0.10532233604919625,0.10528846453798071
physical_fixed,22,mean_var,2900,1484800,2.45117109362036,1.361111328820698,3.812282422441058,0.01098575654439628,0.10574498610549836,0.10528846453798071
physical_fixed,22,mean_var,3000,1536000,2.535698604420759,1.408136239508167,3.9438348439289257,0.01089221639558673,0.10549667713235407,0.10528846453798071
physical_fixed,22,expanded_stats,0,0,0.0,0.0,0.0,,0.6539462222832771,0.6539462222832771
physical_fixed,22,expanded_stats,100,51200,0.10129886912181973,0.04731502430513501,0.14861389342695475,0.05354518644511699,0.13801943401711717,0.13801943401711717
physical_fixed,22,expanded_stats,200,102400,0.20212741335853934,0.09438478259835392,0.29651219595689327,0.017568598724901675,0.135327776208781,0.135327776208781
physical_fixed,22,expanded_stats,300,153600,0.30330220598261803,0.1413133731111884,0.44461557909380645,0.01685522785410285,0.1317584132559221,0.1317584132559221
